step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
334,285920,5344,0.02099724204985922,1.0,1.0,,,,,,,,,
335,286832,5360,0.01811864976245348,1.0,1.0,,,,,,,,,
336,287744,5376,0.020071881377583783,1.0,1.0,,,,,,,,,
337,288784,5392,0.015113550405109174,1.0,1.0,0.020015975804305045,1.0,1.0,,,,,,
338,289696,5408,0.01902081962203776,1.0,1.0,,,,,,,,,
339,290608,5424,0.016264580276282622,1.0,1.0,,,,,,,,,
340,291520,5440,0.02203318280453987,1.0,1.0,,,,,,,,,
341,292176,5456,0.01923851155144152,0.9375,0.9375,,,,,,,,,
342,293088,5472,0.01563719981814572,1.0,1.0,,,,,,,,,
343,293872,5488,0.018438206140033133,1.0,1.0,,,,,,,,,
344,294912,5504,0.016571149520544212,1.0,1.0,,,,,,,,,
345,295696,5520,0.022322649031671988,1.0,1.0,0.016174936602613616,1.0,1.0,,,,,,
346,296352,5536,0.018760940623563756,1.0,1.0,,,,,,,,,
347,297136,5552,0.022440296628833612,0.9375,0.9375,,,,,,,,,
348,298048,5568,0.017708895766461678,1.0,1.0,,,,,,,,,
349,298960,5584,0.01937965028349863,1.0,1.0,,,,,,,,,
350,299872,5600,0.021453412704536882,1.0,1.0,,,,,,,,,
351,300528,5616,0.025475357622265903,1.0,1.0,,,,,,,,,
352,301312,5632,0.019641723922794632,1.0,1.0,,,,,,,,,
353,302096,5648,0.01891392981290133,0.9375,0.9375,0.014447501834043561,1.0,1.0,,,,,,
354,302880,5664,0.01862777960812418,0.9375,0.9375,,,,,,,,,
355,303664,5680,0.018319331354569476,1.0,1.0,,,,,,,,,
356,304576,5696,0.02069328779693379,0.875,0.875,,,,,,,,,
357,305360,5712,0.02045329684981335,0.9375,0.9375,,,,,,,,,
358,306016,5728,0.020087709575847386,1.0,1.0,,,,,,,,,
359,306800,5744,0.016877598024417868,1.0,1.0,,,,,,,,,
360,307712,5760,0.016234994050864548,0.9375,0.9375,,,,,,,,,
361,308496,5776,0.01878623256757005,1.0,1.0,0.01418304977723002,1.0,1.0,,,,,,
362,309408,5792,0.016270883708593382,0.9375,0.9375,,,,,,,,,
363,310448,5808,0.015354930091793813,0.9375,0.9375,,,,,,,,,
364,311488,5824,0.013193770215096346,1.0,1.0,,,,,,,,,
365,312144,5840,0.017923493227452465,1.0,1.0,,,,,,,,,
366,312928,5856,0.017093570421686435,0.9375,0.9375,,,,,,,,,
367,313584,5872,0.022997729274892836,0.9375,0.9375,,,,,,,,,
